timestamp,accel_x,accel_y,accel_z,gyro_alpha,gyro_beta,gyro_gamma
1778763940592,-0.1,0,9.600000000000001,-1.5,-0.7,-121.2
1778763940609,-0.30000000000000004,0.1,10.3,-1.6,0.8,-116
1778763940626,-0.30000000000000004,0.2,9.700000000000001,-0.8,0,-113.4
1778763940642,-0.30000000000000004,0.30000000000000004,10.100000000000001,-1.4,1.6,-108.7
1778763940659,-0.1,0.4,10,-0.7,0,-106.4
1778763940676,0,0.30000000000000004,9.600000000000001,-1.1,0.8,-102.10000000000001
1778763940693,-0.1,0.2,10.200000000000001,-1,0.30000000000000004,-97.7
1778763940709,-0.1,0.4,9.600000000000001,-0.9000000000000001,0.1,-94.9
1778763940726,-0.1,0.4,10.5,-1.2000000000000002,1.2000000000000002,-90.30000000000001
1778763940742,0,0.30000000000000004,10.3,-2.2,2.9,-85.80000000000001
1778763940759,0.1,0.2,10.100000000000001,-0.7,0.7,-83.70000000000002
1778763940775,0.30000000000000004,0.30000000000000004,9.700000000000001,-1.2000000000000002,1,-79.00000000000001
1778763940793,0.2,0.2,9.8,-0.9000000000000001,-0.5,-73.8
1778763940809,0.1,0.4,9.4,-0.6000000000000001,0,-71.19999999999999
1778763940826,0.2,0.7000000000000001,10.200000000000001,-0.6000000000000001,-0.1,-66.7
1778763940843,0.1,0.7000000000000001,9.3,-0.4,-0.4,-64.7
1778763940859,0.1,0.30000000000000004,9.5,-0.2,0,-60.400000000000006
1778763940877,0.8,0.2,10.200000000000001,-0.8,0.9000000000000001,-55.60000000000001
1778763940892,0.30000000000000004,0.2,9.3,0.4,-0.30000000000000004,-51.2
1778763940909,0.30000000000000004,0.4,10.3,-1.3,1.6,-49
1778763940925,0.30000000000000004,0.6000000000000001,9.600000000000001,-0.4,-0.5,-44.5
1778763940942,0.2,0.6000000000000001,9.9,-1,1.3,-42.3
1778763940959,0.30000000000000004,0.5,10.100000000000001,-0.30000000000000004,-0.6000000000000001,-37.50000000000001
1778763940975,0.4,0.4,10.8,-1.6,2.1,-32.300000000000004
1778763940992,0.4,0.4,9.8,0.6000000000000001,-1.7,-29.900000000000006
1778763941009,0.5,0.5,11,-1.3,2,-25
1778763941025,0.30000000000000004,0.4,9.3,-0.2,0.6000000000000001,-20.599999999999998
1778763941044,0.30000000000000004,0.30000000000000004,10.8,-0.8,1.5,-18.3
1778763941059,0.5,0.4,9.8,-0.8,1.2000000000000002,-14.300000000000002
1778763941075,0.5,0.5,9.200000000000001,0.5,-1.4,-9.8
1778763941092,0.30000000000000004,0.5,10.100000000000001,-0.8,1.3,-7.1000000000000005
1778763941109,0.30000000000000004,0.5,9.4,0.4,-0.8,-2.2
1778763941126,0.7000000000000001,0,10.200000000000001,-0.6000000000000001,1,0.1
1778763941142,0.6000000000000001,-0.30000000000000004,9.700000000000001,0.1,-0.30000000000000004,-0.1
1778763941158,0.6000000000000001,-0.30000000000000004,9.8,0.2,-0.30000000000000004,0
1778763941176,0.6000000000000001,-0.30000000000000004,9.9,0.1,-0.1,0
1778763941192,0.7000000000000001,-0.2,9.8,0,-0.2,0
1778763941208,0.6000000000000001,-0.2,9.8,0.2,-0.4,-0.1
1778763941226,0.6000000000000001,-0.2,9.8,-0.1,0.1,0
1778763941243,0.6000000000000001,-0.2,9.700000000000001,0.2,-0.4,0
1778763941259,0.6000000000000001,-0.2,9.9,-0.2,0.4,0
1778763941277,0.6000000000000001,-0.2,9.700000000000001,0.2,-0.4,0
1778763941295,0.6000000000000001,-0.2,10,0.1,-0.2,0
1778763941309,0.6000000000000001,-0.2,10.100000000000001,-0.2,0.4,0
1778763941325,0.6000000000000001,-0.2,9.9,0.2,-0.30000000000000004,-0.2
1778763941342,0.6000000000000001,-0.2,10,-0.30000000000000004,0.4,0
1778763941359,0.6000000000000001,-0.2,9.9,0.1,-0.2,0
1778763941375,0.6000000000000001,-0.2,10,0,0.1,0
1778763941395,0.6000000000000001,-0.2,9.9,0.1,0,0
1778763941409,0.6000000000000001,-0.2,9.9,0.1,0,0
1778763941426,0.6000000000000001,-0.2,9.9,0.1,0,0
1778763941442,0.6000000000000001,-0.2,9.9,-0.1,0,0
1778763941459,0.6000000000000001,-0.2,10,0.1,0,0
1778763941475,0.6000000000000001,-0.2,9.9,-0.1,0,0.1
1778763941492,0.6000000000000001,-0.2,9.9,0,0,0
1778763941510,0.6000000000000001,-0.2,9.9,-0.1,0,0
1778763941525,0.6000000000000001,-0.2,9.9,-0.1,0,0
1778763941542,0.6000000000000001,-0.2,9.9,0.1,0,0
1778763941559,0.6000000000000001,-0.2,9.9,0,0.2,0
1778763941576,0.6000000000000001,-0.2,9.9,0.1,0,0
1778763941593,0.6000000000000001,-0.2,9.9,0,0,0
1778763941610,0.6000000000000001,-0.2,9.9,0,-0.2,0
1778763941625,0.6000000000000001,-0.2,9.9,0,-0.1,-0.1
1778763941644,0.6000000000000001,-0.2,9.9,-0.1,0.1,0
1778763941659,0.6000000000000001,-0.2,9.9,-0.1,0.1,0
1778763941675,0.6000000000000001,-0.2,9.9,0.1,0,0
1778763941693,0.6000000000000001,-0.2,9.9,0.1,0,0
1778763941709,0.6000000000000001,-0.2,9.9,0.1,-0.1,0
1778763941726,0.6000000000000001,-0.2,9.9,0,0,0
1778763941743,0.6000000000000001,-0.2,9.9,0,-0.1,0
1778763941760,0.6000000000000001,-0.2,9.9,0,-0.1,0
1778763941775,0.6000000000000001,-0.2,9.9,0.1,0.1,0
1778763941793,0.6000000000000001,-0.2,9.9,-0.1,0.1,0
1778763941810,0.6000000000000001,-0.2,9.9,0,0,0
1778763941826,0.6000000000000001,-0.2,9.9,0.1,0,0
1778763941844,0.6000000000000001,-0.2,9.9,0.1,0,0
1778763941859,0.6000000000000001,-0.2,9.9,0,0,0
1778763941875,0.6000000000000001,-0.2,9.9,0,0,0
1778763941892,0.6000000000000001,-0.2,9.9,0,0,0
1778763941909,0.6000000000000001,-0.2,9.9,0,-0.1,0
1778763941925,0.6000000000000001,-0.2,9.9,0,0.1,0
1778763941944,0.6000000000000001,-0.2,9.9,0,0,0
1778763941959,0.6000000000000001,-0.2,9.9,-0.1,0,0
1778763941975,0.6000000000000001,-0.2,9.9,0,0.1,0
1778763941992,0.6000000000000001,-0.2,9.9,0.1,-0.1,0
1778763942009,0.6000000000000001,-0.2,9.9,0.1,-0.1,0
1778763942025,0.6000000000000001,-0.2,9.9,0,0,0
1778763942042,0.6000000000000001,-0.2,9.9,0,0.1,-0.1
1778763942059,0.6000000000000001,-0.2,9.9,-0.1,0.1,0
1778763942076,0.6000000000000001,-0.2,9.9,0.1,0,-0.1
1778763942092,0.6000000000000001,-0.2,9.9,0,0,0
1778763942109,0.6000000000000001,-0.2,9.9,0,-0.1,0
1778763942125,0.6000000000000001,-0.2,9.9,0,0.1,0
1778763942142,0.6000000000000001,-0.2,9.9,0,0,-0.1
1778763942159,0.6000000000000001,-0.2,9.9,0,0.1,0
1778763942176,0.6000000000000001,-0.2,9.9,0,0,0
1778763942192,0.6000000000000001,-0.2,9.9,0.1,0,0
1778763942209,0.6000000000000001,-0.2,9.9,0,0.1,0
1778763942225,0.6000000000000001,-0.2,9.9,0,0,0
1778763942242,0.6000000000000001,-0.2,9.9,0,0,-0.1
1778763942259,0.6000000000000001,-0.2,9.9,-0.1,-0.1,0
1778763942275,0.6000000000000001,-0.2,9.9,0,0.1,0
